Region,commitments,loans,outstanding,avg_risk,repaid,repayment_rate
EAST ASIA AND PACIFIC,207893383848.81,2014,55316464721.54,0.15484111221449853,109249899403.57,0.5255092652829286
EASTERN AND SOUTHERN AFRICA,31743311341.0,438,15594031413.33,0.18573059360730595,6003578480.13,0.18912892910374204
EUROPE AND CENTRAL ASIA,217059305220.49,1948,67254527439.55,0.2225616016427105,96128281456.27,0.44286643854601115
LATIN AMERICA AND CARIBBEAN,306142892578.48,2975,87570181851.02,0.1651764705882353,159682064267.38,0.5215932433461455
"MID EAST,NORTH AFRICA,AFG,PAK",119076674000.0,1256,44189296667.24,0.18140923566878983,45751265524.59,0.3842168578254881
SOUTH ASIA,93025862410.38,466,24760649434.91,0.31158798283261807,38055016108.05,0.4090799603681368
WESTERN AND CENTRAL AFRICA,20656800000.0,421,3730186016.06,0.09323040380047508,10287575632.710001,0.4980236838576159
